tpep_pickup_datetime,total_pickups,avg_duration_minutes,avg_distance_miles,avg_fare_amount,avg_total_amount,avg_speed_mph,hour_of_day,day_of_week,is_weekend
2023-01-01 00:00:00,4808,14.8830595,3.3303888,18.621582,27.105661,12.807342,0,6,1
2023-01-01 01:00:00,5017,14.492435,3.1852143,17.989498,26.427958,12.745664,1,6,1
2023-01-01 02:00:00,4382,13.35213,3.2060976,17.34627,25.658936,13.776008,2,6,1
2023-01-01 03:00:00,3317,13.032398,3.3805487,17.836658,26.106468,14.614969,3,6,1
2023-01-01 04:00:00,2125,13.232863,3.8337975,19.4612,27.84175,15.86773,4,6,1
2023-01-01 05:00:00,968,14.127514,5.096591,24.259298,33.0803,18.745941,5,6,1
2023-01-01 06:00:00,761,14.751642,6.530105,28.664864,38.13904,22.623901,6,6,1
2023-01-01 07:00:00,914,13.824891,6.3760614,28.08455,37.141598,23.179832,7,6,1
2023-01-01 08:00:00,1039,13.434585,6.0701637,26.935833,36.190964,22.55372,8,6,1
2023-01-01 09:00:00,1514,11.923734,4.6117306,21.45304,29.708117,19.265787,9,6,1
2023-01-01 10:00:00,2488,12.477867,4.872701,22.721382,31.600784,19.352783,10,6,1
2023-01-01 11:00:00,3032,12.472427,4.1412334,20.481134,28.603912,16.78236,11,6,1
2023-01-01 12:00:00,3497,13.1970215,4.171773,21.003231,29.353065,16.125618,12,6,1
2023-01-01 13:00:00,3723,14.394395,4.323567,21.873508,30.36928,15.243573,13,6,1
2023-01-01 14:00:00,3964,16.820812,4.768781,23.792248,32.815014,14.443829,14,6,1
2023-01-01 15:00:00,4018,17.431507,4.7650623,23.816694,32.82435,13.924258,15,6,1
2023-01-01 16:00:00,3958,18.632113,4.744214,24.352266,33.405483,13.12709,16,6,1
2023-01-01 17:00:00,3854,18.022799,4.5387077,23.285519,32.368668,13.164208,17,6,1
2023-01-01 18:00:00,3481,17.091549,4.3818526,22.807354,31.756052,13.658011,18,6,1
2023-01-01 19:00:00,3249,16.694973,4.6543646,23.174547,32.068626,14.570196,19,6,1
2023-01-01 20:00:00,2717,15.6557,4.5196285,22.556868,32.24671,15.063574,20,6,1
